**************************************************************************

This file provides the results obtained by BaBar for the process
e+ e- --> K+ K- (gamma) using the ISR method near 10.58 GeV.
It contains:

(1) The cross section (nb) and form factor values for 159 CM energy intervals (GeV) from 0.985 to 5 GeV.
The cross section is bare (excluding vacuum polarization) and includes the emission of final state photons.
The form factor is dressed (including vacuum polarization) and does not include the emission of final state photons.

(2) The source of systematic uncertainties and their values in the defined energy intervals. All the values for each source should be taken as 100% correlated in all energy bins. The sources are independent and their contributions should be added quadratically.  

(3) The statistical covariance matrix of the cross section, in the same energy bins as given for the cross section values. This matrix comes from the unfolding of the measured pi+ pi- mass distribution, the corrections between data and MC obtained in larger bins, and the ISR luminosity using the mu+ mu- gamma (gamma) process.
The statistical covariance matrix of the form factor can be derived from the statistical covariance matrix of the cross section using the formula:
cov(|FF|^2)ij = cov(Xsec)ij * (|FF|^2)i / (Xsec)i * (|FF|^2)j / (Xsec)j ,
with i and j being the bin numbers.

**************************************************************************
          
        (1) CROSS SECTION and FORM FACTOR

Energy interval      Cross section	         |FF|^2
   (GeV)                (nb)         

-1.55095508860693062E-04 
-7.81620259036007177E-05 
2.65859491503786039E-05 
1.14743829681148934E-04 
-1.89107611320812972E-04 
6.81770487715933394E-05 
1.62368661293622978E-05 
-1.16122452697710356E-04 
7.65404802513988523E-05 
4.21455833320278744E-05 
1.36183831100960547E-04 
-4.20845344657846439E-05 
1.11265565512221862E-04 
6.51134752326519350E-05 
-1.16563780627771654E-04 
-8.70413258866686255E-05 
1.20504307159960346E-04 
6.35758582406088980E-05 
6.51036412608789819E-05 
-9.67669669298800919E-05 
1.60618520402030414E-05 
-7.19737214741099574E-05 
6.10439904464333698E-05 
9.56648278909461302E-05 
-2.98316377911277109E-05 
-8.59768512764195083E-06 
-5.58804065058670065E-05 
5.00009685020586103E-05 
7.76855198786231368E-07 
1.96592127922823631E-05 
-3.00265567943774908E-05 
-2.91202395397213865E-06 
2.63380770607772413E-05 
2.19507455192783234E-06 
-3.04278319496095732E-06 
-2.01715443653446651E-05 
7.44819917328080960E-06 
1.88523563528028485E-05 
-9.07364354500041222E-06 
2.09618319263448447E-05 
-3.09669195913036015E-06 
-3.42546928143743187E-05 
-1.28471381431531708E-05 
-1.55948293904475869E-05 
8.26827819634393455E-06 
-1.12267090605663409E-06 
1.21266895983228339E-05 
-2.50541690497053045E-06 
9.96512326625968930E-06 
-7.12115812450195155E-06 
3.49183208214802735E-06 
9.01727619033596404E-06 
-3.22512209340265600E-05 
-1.63125635260448914E-05 
6.77287820903681907E-07 
3.30727987179057771E-05 
2.57828326841661983E-05 
1.31602088737416202E-06 
-4.08354528052190923E-05 
9.91409832192685037E-06 
1.15416981621195408E-05 
-1.45336847166494866E-05 
-8.13588697646466838E-06 
-1.58159796181742654E-05 
1.58974932016409355E-05 
-8.83168973409546813E-06 
-1.66886822371531950E-05 
1.36001504744072962E-05 
-1.83653786175950112E-06 
2.99610671004747491E-06 
-6.41150927367066418E-06 
6.89603643605799397E-06 
4.50966348916558245E-06 
-1.32449616937352891E-05 
-3.58090597117377775E-06 
-7.70810805016967862E-06 
1.77578070776233792E-06 
4.79195662956846936E-06 
-5.79959083472992378E-06 
4.75603704027272552E-06 
6.13161892575432585E-06 
-6.46080586625151006E-07 
-8.78798698496929345E-07 
1.17766893512796448E-06 
-5.46689798106022267E-06 
-2.92903948261104586E-06 
6.25035987987442023E-06 
2.03284449230863623E-06 
4.40580928817964727E-06 
-3.12802768747243020E-06 
3.60051088739948306E-06 
-2.92113648202478605E-07 
1.26563732762375674E-06 
-1.22742177756577989E-06 
6.20679384251944668E-07 
-5.16002008883440746E-07 
-2.17598067350753689E-07 
2.37862416666926839E-07 
-1.12238036818145696E-07 
-3.60731696715567928E-04 
4.02157192020983351E-02 
-5.92372962615191762E-03 
-3.07035383272694909E-03 
2.92291168206743361E-03 
-3.30685903099579804E-03 
-3.09032998767032243E-03 
-3.21754900983356462E-03 
6.77678569442480370E-03 
-9.13235696690803053E-03 
5.77534625670056596E-03 
-3.11102956464838010E-03 
1.49393293796682520E-03 
5.05344686671772673E-03 
-1.00786229178911630E-02 
9.09203214779198471E-04 
2.53642222463077785E-02 
-7.42236690483567829E-03 
4.43065394582792607E-03 
-2.18500756507915041E-02 
6.23230968857573925E-02 
-3.62115793030334809E-03 
7.88797478852960449E-02 
6.14335726592454834E-03 
-1.16338612037036934E-02 
-6.99280438585286185E-03 
4.01471287188009326E-02 
3.62246420568767755E-02 
2.16447926489635838E-02 
-8.70566953378868087E-03 
-5.87972526509846806E-03 
-1.25920245292453865E-03 
-2.31616444090672856E-03 
2.27129441572622819E-02 
6.49704337214194409E-03 
1.87683407548622640E-03 
5.42763635025498366E-04 
-2.90136051509091997E-03 
-4.10434160073158000E-03 
-3.59433072834891695E-03 
-1.85897909169662513E-02 
1.04721186770825123E-02 
1.98697202827933942E-03 
-4.92794995570843431E-03 
-7.18674995013451607E-04 
-1.75140551473247121E-03 
-2.42243129029734710E-04 
2.24921681449136070E-03 
-8.01921324316771499E-04 
2.13053907307323857E-04 
-1.74228694198282292E-03 
-4.96871027260605848E-04 
1.43848872528825169E-03 
-8.09315368489743072E-04 
-6.04699663270035891E-04 
4.62250108636755503E-04 
2.63964965443075849E-04 
5.60090457266901928E-04 
4.66141027545019645E-04 
-1.97457759539567800E-04 
1.48994050321783934E-04 
8.34262523584542804E-04 
7.57033051794238332E-04 
-1.49245677861774143E-04 
-3.66053810491795287E-04 
1.00601607644251441E-03 
4.10040630442945540E-04 
-3.23005134920251473E-04 
-1.32159485980128637E-04 
-1.95401923265342727E-04 
2.83457708218986908E-04 
3.97543963881488011E-04 
9.29363483731022766E-05 
-7.25974834733253871E-04 
2.91343560117801376E-04 
-4.23492063743479276E-04 
7.08089040204932661E-04 
5.39555202728759934E-04 
1.05526815899150764E-04 
1.72125044773372716E-05 
2.26984387210409360E-04 
1.11381985713311359E-04 
9.87048902327155025E-05 
9.80001423116824818E-05 
-6.68515643795286570E-06 
-5.15991251503811728E-05 
4.35908123638281309E-05 
1.16441698561280211E-04 
3.90088784252992798E-05 
-3.65540458643474992E-05 
2.99514333493857420E-05 
8.72902849000618206E-05 
9.39379368514550614E-05 
1.13003934683307195E-04 
8.89775546387159893E-05 
-9.60077811723051469E-06 
1.70814115347520680E-05 
-1.82965933467876666E-05 
-3.83769691810706369E-05 
-3.46494241664623720E-06 
-2.01098033113305234E-04 
-1.86182939898214529E-04 
1.63455224153317123E-04 
-4.05377466401640648E-05 
7.30915964793662609E-05 
6.56723915990332880E-05 
8.13374309246218838E-05 
-6.11293699398680494E-05 
4.43291046628420751E-05 
1.32195509525280302E-04 
1.57778034075870048E-04 
-5.08048035026237267E-06 
-2.34036579573170266E-05 
4.73134243202512843E-05 
-1.01628724064275642E-04 
4.90319184167042991E-05 
3.34880383884392460E-05 
3.74601916923360739E-05 
-5.52212104126305415E-06 
4.38369767539739926E-05 
9.31098914065661617E-05 
-1.00156053909906671E-04 
-2.63313679846919199E-06 
-1.88993420108552138E-05 
3.46041585123250337E-05 
-8.44915494224444448E-05 
7.90403260596886370E-05 
-2.83357341982456457E-05 
6.79406801638046356E-05 
3.71975140449693883E-06 
4.73601855167553058E-05 
2.46988972396383907E-05 
1.55224355481942632E-05 
-4.01473818439561213E-06 
2.11959903037958519E-05 
-3.46891292022068788E-06 
-5.81039878001416823E-07 
-1.31961883874892787E-06 
-4.80226747103399348E-05 
1.55711838127552394E-05 
-1.06895567119203448E-05 
-1.84724051263532395E-05 
1.26665799539430005E-05 
7.85289332542165729E-06 
-2.20260734278384984E-06 
-4.80364500301857621E-07 
-1.35879927590181035E-05 
-6.58902408612243042E-06 
-4.66336629464295224E-06 
-2.21046932518132284E-05 
1.32151329177666349E-05 
-9.60722639459805092E-07 
-1.62622291849452781E-06 
-2.99250081951669756E-06 
2.10784500918684029E-06 
-4.15729086088196191E-07 
4.59043140627564138E-07 
-2.01329810946707777E-06 
-8.42307866272719639E-07 
6.79777953107020642E-05 
-5.92372962615191848E-03 
1.65238741135427941E-01 
-8.99524169637248017E-02 
-7.29549806654819760E-03 
-8.03356864579700338E-04 
-2.17212483265254164E-03 
3.23996901014250889E-03 
8.66303714462900512E-03 
1.33788052211718939E-02 
9.43788386726417128E-03 
7.67209125669979924E-03 
4.13844000859353404E-04 
1.18649068196554665E-02 
-4.83333625800725676E-03 
2.50699344056216772E-02 
7.48265536620373595E-02 
1.10700204748698568E-02 
1.07456098677003675E-01 
1.45380537655112635E-01 
8.43482414701497152E-02 
2.81109330048355144E-01 
2.48030150471364091E-01 
2.27234200870623293E-01 
1.17002398900824811E-01 
9.94935214807319418E-02 
6.60928155827637809E-02 
7.64443508562144824E-02 
4.01205529434570385E-02 
8.67984790017281571E-02 
6.16116751192727768E-02 
5.85704624351455275E-02 
-2.48205373826198804E-02 
-1.06266722677960529E-03 
-7.15610017811258055E-03 
3.07547739011782562E-02 
5.33433832411098641E-03 
-7.27485057762129045E-03 
1.87734594795358790E-02 
3.08732359007514168E-02 
9.55231580696609683E-04 
3.56151780478738489E-03 
1.57584109089603935E-02 
1.35788662911580371E-02 
-3.50119090370229957E-03 
6.71353175994292978E-03 
3.93163521163346873E-03 
3.74418000290344891E-03 
-6.91980680936751281E-03 
3.36401084414578860E-03 
7.14802362499859182E-03 
2.29085711499138543E-04 
4.37366873111217237E-03 
1.15904854518006297E-03 
-1.12288383878517140E-03 
2.04510616685089040E-04 
1.14378795239927842E-03 
9.21120386507733686E-04 
2.58056702073985750E-03 
3.12839001138814064E-04 
2.84563491494866077E-03 
-2.25120260312653949E-03 
-4.60861789187399435E-05 
1.24298755119272913E-03 
4.95581698644137481E-04 
-2.21431939688293555E-04 
2.69077695042086818E-04 
1.17092407057921418E-03 
1.71170620111348905E-03 
1.19063238275495084E-03 
-1.07917356342372619E-03 
1.12189092847608690E-04 
3.35063804028525535E-04 
-9.94469567634632652E-04 
5.18625045740652357E-04 
1.84269392544518057E-04 
5.76550028963963417E-05 
-1.79843470389537630E-04 
5.63113984466930570E-04 
-5.72404542576689839E-04 
8.26171768500787531E-04 
-3.28844355728843420E-04 
4.41312576365166442E-04 
1.60653603519771317E-04 
4.18818809073091551E-05 
-4.98786997536365879E-04 
-1.80925993044352986E-04 
-1.07926549816063388E-04 
1.18668186838783034E-04 
-1.05639292362680624E-04 
2.29668051921292329E-05 
1.48568336551393516E-04 
-1.13270878823051811E-04 
-8.10954980167590662E-05 
6.70745579515258070E-06 
2.10256799368895398E-05 
-1.50279897317954385E-04 
-4.68118672741540595E-05 
2.12908154165645949E-04 
-3.57125930477853316E-04 
-1.55005720024617888E-04 
-4.81438427268379620E-05 
3.62002594859348460E-04 
1.57817018193019313E-04 
-3.66050335597887513E-04 
-3.28685061403579759E-04 
1.84203994359075234E-05 
5.69965614556960099E-05 
-1.41230825642347949E-04 
-2.77626016776978571E-04 
8.00163566923143002E-06 
-4.12325831878327244E-04 
1.98806597579074759E-04 
-4.26328276044200480E-05 
-1.07220896502661197E-05 
-3.61681302375225995E-05 
-1.78944141565105179E-04 
-2.22798563589770722E-05 
1.87334966056667434E-05 
1.51902990808963287E-04 
2.58031998629655340E-06 
-8.44261577290859985E-05 
-1.21962039459773226E-04 
-8.14943712563995270E-05 
-1.29952251615246832E-04 
6.81647913762717579E-05 
1.09365130669099639E-04 
8.80636613295028927E-05 
-1.79016425715770194E-04 
-4.25066375106552169E-05 
5.27804762236486799E-07 
2.59138805545755823E-05 
-4.75560007703296179E-05 
1.31721224081523351E-05 
-2.20272188494698245E-05 
4.64055865077218452E-05 
4.89132453425468621E-06 
-8.33018249218893399E-06 
6.28006158032372688E-05 
-1.91512546413168657E-05 
-1.17565554806173503E-05 
1.69558541879010106E-05 
-2.05744309836119171E-05 
-3.25606155908858902E-05 
3.88591750557237435E-05 
3.53856116122857811E-05 
-7.12860231992264566E-05 
-2.61341697130271001E-05 
1.04580113892843627E-05 
4.63895432906768094E-05 
-1.07881976749630520E-05 
-1.21973982944489921E-05 
2.86569839285138165E-06 
7.60106660705081652E-06 
-5.62692007806015846E-06 
6.32442562456832750E-06 
-1.81076517358104710E-06 
-4.51660954713611406E-06 
2.25470112327489156E-06 
-2.66290105994365439E-04 
-3.07035383272694952E-03 
-8.99524169637248017E-02 
2.29953117118122430E+00 
-1.99604875178054558E-01 
-2.10344228988056325E-01 
1.57527521205251889E-02 
